instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,demand_cluster,7_day_MA,30_day_MA
17,2011-01-17,Spring,2011,1,1,1,0,Misty/Cloudy,0.175833,0.176771,0.5375,0.194017,117,883,1000,Low Demand (Quiet Day),1243.4285714285713,
18,2011-01-18,Spring,2011,1,0,2,1,Misty/Cloudy,0.216667,0.232333,0.861667,0.146775,9,674,683,Low Demand (Quiet Day),1160.5714285714287,
19,2011-01-19,Spring,2011,1,0,3,1,Misty/Cloudy,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Low Demand (Quiet Day),1230.2857142857142,
20,2011-01-20,Spring,2011,1,0,4,1,Misty/Cloudy,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Low Demand (Quiet Day),1304.7142857142858,
21,2011-01-21,Spring,2011,1,0,5,1,Clear/Partly Cloudy,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Low Demand (Quiet Day),1322.142857142857,
22,2011-01-22,Spring,2011,1,0,6,0,Clear/Partly Cloudy,0.0591304,0.0790696,0.4,0.17197,93,888,981,Low Demand (Quiet Day),1284.0,
23,2011-01-23,Spring,2011,1,0,0,0,Clear/Partly Cloudy,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Low Demand (Quiet Day),1252.857142857143,
24,2011-01-24,Spring,2011,1,0,1,1,Clear/Partly Cloudy,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Low Demand (Quiet Day),1312.2857142857142,
25,2011-01-25,Spring,2011,1,0,2,1,Misty/Cloudy,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Low Demand (Quiet Day),1498.2857142857142,
26,2011-01-26,Spring,2011,1,0,3,1,Light Snow/Rain,0.2175,0.2036,0.8625,0.29385,34,472,506,Low Demand (Quiet Day),1334.857142857143,
27,2011-01-27,Spring,2011,1,0,4,1,Clear/Partly Cloudy,0.195,0.2197,0.6875,0.113837,15,416,431,Low Demand (Quiet Day),1121.142857142857,
28,2011-01-28,Spring,2011,1,0,5,1,Misty/Cloudy,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Low Demand (Quiet Day),1067.4285714285713,
29,2011-01-29,Spring,2011,1,0,6,0,Clear/Partly Cloudy,0.196522,0.212126,0.651739,0.145365,123,975,1098,Low Demand (Quiet Day),1084.142857142857,
30,2011-01-30,Spring,2011,1,0,0,0,Clear/Partly Cloudy,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Low Demand (Quiet Day),1099.857142857143,1222.9333333333334
31,2011-01-31,Spring,2011,1,0,1,1,Misty/Cloudy,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Low Demand (Quiet Day),1112.0,1240.1333333333334
32,2011-02-01,Spring,2011,2,0,2,1,Misty/Cloudy,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Low Demand (Quiet Day),1022.7142857142857,1258.7666666666667
33,2011-02-02,Spring,2011,2,0,3,1,Misty/Cloudy,0.26,0.254417,0.775417,0.264308,72,1454,1526,Low Demand (Quiet Day),1168.4285714285713,1264.6666666666667
34,2011-02-03,Spring,2011,2,0,4,1,Clear/Partly Cloudy,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Low Demand (Quiet Day),1328.2857142857142,1264.2666666666667
35,2011-02-04,Spring,2011,2,0,5,1,Misty/Cloudy,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Low Demand (Quiet Day),1405.5714285714287,1267.8666666666666
36,2011-02-05,Spring,2011,2,0,6,0,Misty/Cloudy,0.233333,0.243058,0.929167,0.161079,100,905,1005,Low Demand (Quiet Day),1392.2857142857142,1247.8333333333333
37,2011-02-06,Spring,2011,2,0,0,0,Clear/Partly Cloudy,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Low Demand (Quiet Day),1467.5714285714287,1251.6
38,2011-02-07,Spring,2011,2,0,1,1,Clear/Partly Cloudy,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Low Demand (Quiet Day),1497.7142857142858,1276.7
39,2011-02-08,Spring,2011,2,0,2,1,Clear/Partly Cloudy,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Low Demand (Quiet Day),1522.0,1300.3
40,2011-02-09,Spring,2011,2,0,3,1,Misty/Cloudy,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Low Demand (Quiet Day),1533.2857142857142,1309.7666666666667
41,2011-02-10,Spring,2011,2,0,4,1,Clear/Partly Cloudy,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Low Demand (Quiet Day),1531.5714285714287,1318.9333333333334
42,2011-02-11,Spring,2011,2,0,5,1,Clear/Partly Cloudy,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Low Demand (Quiet Day),1537.0,1338.4
43,2011-02-12,Spring,2011,2,0,6,0,Clear/Partly Cloudy,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Low Demand (Quiet Day),1603.7142857142858,1340.6
44,2011-02-13,Spring,2011,2,0,0,0,Clear/Partly Cloudy,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Low Demand (Quiet Day),1598.857142857143,1346.2
45,2011-02-14,Spring,2011,2,0,1,1,Clear/Partly Cloudy,0.415,0.39835,0.375833,0.417908,208,1705,1913,Low Demand (Quiet Day),1627.5714285714287,1368.3666666666666
46,2011-02-15,Spring,2011,2,0,2,1,Clear/Partly Cloudy,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Low Demand (Quiet Day),1668.2857142857142,1388.7333333333333
47,2011-02-16,Spring,2011,2,0,3,1,Clear/Partly Cloudy,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Low Demand (Quiet Day),1741.142857142857,1425.9
48,2011-02-17,Spring,2011,2,0,4,1,Clear/Partly Cloudy,0.435833,0.428658,0.505,0.230104,259,2216,2475,Low Demand (Quiet Day),1875.0,1485.6333333333334
49,2011-02-18,Spring,2011,2,0,5,1,Clear/Partly Cloudy,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Low Demand (Quiet Day),2043.7142857142858,1528.2
50,2011-02-19,Spring,2011,2,0,6,0,Clear/Partly Cloudy,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Low Demand (Quiet Day),2067.0,1518.4666666666667
51,2011-02-20,Spring,2011,2,0,0,0,Clear/Partly Cloudy,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Low Demand (Quiet Day),2098.8571428571427,1527.4333333333334
52,2011-02-21,Spring,2011,2,1,1,0,Misty/Cloudy,0.303333,0.284075,0.605,0.307846,195,912,1107,Low Demand (Quiet Day),1983.7142857142858,1531.6333333333334
53,2011-02-22,Spring,2011,2,0,2,1,Clear/Partly Cloudy,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Low Demand (Quiet Day),1931.5714285714287,1547.1
54,2011-02-23,Spring,2011,2,0,3,1,Clear/Partly Cloudy,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Low Demand (Quiet Day),1903.2857142857142,1563.8
55,2011-02-24,Spring,2011,2,0,4,1,Misty/Cloudy,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Low Demand (Quiet Day),1807.857142857143,1557.8666666666666
56,2011-02-25,Spring,2011,2,0,5,1,Misty/Cloudy,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Low Demand (Quiet Day),1598.4285714285713,1589.7
57,2011-02-26,Spring,2011,2,0,6,0,Clear/Partly Cloudy,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Low Demand (Quiet Day),1646.142857142857,1640.9666666666667
58,2011-02-27,Spring,2011,2,0,0,0,Clear/Partly Cloudy,0.343478,0.351109,0.68,0.125248,694,1708,2402,Low Demand (Quiet Day),1730.4285714285713,1682.1333333333334
59,2011-02-28,Spring,2011,2,0,1,1,Misty/Cloudy,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Low Demand (Quiet Day),1778.857142857143,1693.7333333333333
60,2011-03-01,Spring,2011,3,0,2,1,Clear/Partly Cloudy,0.266667,0.263879,0.535,0.216425,137,1714,1851,Low Demand (Quiet Day),1836.142857142857,1718.9
61,2011-03-02,Spring,2011,3,0,3,1,Clear/Partly Cloudy,0.335,0.320071,0.449583,0.307833,231,1903,2134,Low Demand (Quiet Day),1867.142857142857,1740.0
62,2011-03-03,Spring,2011,3,0,4,1,Clear/Partly Cloudy,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Low Demand (Quiet Day),1849.7142857142858,1750.8333333333333
63,2011-03-04,Spring,2011,3,0,5,1,Misty/Cloudy,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Low Demand (Quiet Day),1918.7142857142858,1764.7666666666667
64,2011-03-05,Spring,2011,3,0,6,0,Misty/Cloudy,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Low Demand (Quiet Day),1934.142857142857,1782.3333333333333
65,2011-03-06,Spring,2011,3,0,0,0,Misty/Cloudy,0.376522,0.366252,0.948261,0.343287,114,491,605,Low Demand (Quiet Day),1677.4285714285713,1745.5666666666666
66,2011-03-07,Spring,2011,3,0,1,1,Clear/Partly Cloudy,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Low Demand (Quiet Day),1738.2857142857142,1774.4666666666667
67,2011-03-08,Spring,2011,3,0,2,1,Clear/Partly Cloudy,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Low Demand (Quiet Day),1778.5714285714287,1791.4666666666667
68,2011-03-09,Spring,2011,3,0,3,1,Misty/Cloudy,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Low Demand (Quiet Day),1743.857142857143,1797.4333333333334
69,2011-03-10,Spring,2011,3,0,4,1,Light Snow/Rain,0.389091,0.385668,0.0,0.261877,46,577,623,Low Demand (Quiet Day),1592.142857142857,1767.2
70,2011-03-11,Spring,2011,3,0,5,1,Misty/Cloudy,0.316522,0.305,0.649565,0.23297,247,1730,1977,Low Demand (Quiet Day),1596.857142857143,1779.6
71,2011-03-12,Spring,2011,3,0,6,0,Clear/Partly Cloudy,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Low Demand (Quiet Day),1604.7142857142858,1799.4
72,2011-03-13,Spring,2011,3,0,0,0,Clear/Partly Cloudy,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Low Demand (Quiet Day),1863.5714285714287,1821.7666666666667
73,2011-03-14,Spring,2011,3,0,1,1,Clear/Partly Cloudy,0.325217,0.332,0.496957,0.136926,359,1687,2046,Low Demand (Quiet Day),1888.4285714285713,1840.9
74,2011-03-15,Spring,2011,3,0,2,1,Misty/Cloudy,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Low Demand (Quiet Day),1877.4285714285713,1856.4666666666667
75,2011-03-16,Spring,2011,3,0,3,1,Misty/Cloudy,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Low Demand (Quiet Day),1920.4285714285713,1865.7666666666667
76,2011-03-17,Spring,2011,3,0,4,1,Clear/Partly Cloudy,0.415,0.410333,0.602917,0.209579,424,2320,2744,Low Demand (Quiet Day),2223.4285714285716,1896.7333333333333
77,2011-03-18,Spring,2011,3,0,5,1,Clear/Partly Cloudy,0.54,0.527009,0.525217,0.231017,884,2355,3239,Medium Demand (Typical Day),2403.714285714286,1934.2
78,2011-03-19,Spring,2011,3,0,6,0,Clear/Partly Cloudy,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Low Demand (Quiet Day),2544.4285714285716,1955.6
79,2011-03-20,Spring,2011,3,0,0,0,Clear/Partly Cloudy,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Low Demand (Quiet Day),2552.1428571428573,1940.4
80,2011-03-21,Summer,2011,3,0,1,1,Misty/Cloudy,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Low Demand (Quiet Day),2556.5714285714284,1955.1333333333334
81,2011-03-22,Summer,2011,3,0,2,1,Clear/Partly Cloudy,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Low Demand (Quiet Day),2649.0,1984.8333333333333
82,2011-03-23,Summer,2011,3,0,3,1,Misty/Cloudy,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Low Demand (Quiet Day),2638.8571428571427,2018.6333333333334
83,2011-03-24,Summer,2011,3,0,4,1,Misty/Cloudy,0.285,0.270833,0.805833,0.243787,166,1699,1865,Low Demand (Quiet Day),2513.285714285714,2032.4666666666667
84,2011-03-25,Summer,2011,3,0,5,1,Clear/Partly Cloudy,0.264167,0.256312,0.495,0.230725,300,1910,2210,Low Demand (Quiet Day),2366.285714285714,2042.2333333333333
85,2011-03-26,Summer,2011,3,0,6,0,Clear/Partly Cloudy,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Low Demand (Quiet Day),2277.5714285714284,2065.2
86,2011-03-27,Summer,2011,3,0,0,0,Misty/Cloudy,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Low Demand (Quiet Day),2166.4285714285716,2072.9333333333334
87,2011-03-28,Summer,2011,3,0,1,1,Clear/Partly Cloudy,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Low Demand (Quiet Day),2159.4285714285716,2074.9
88,2011-03-29,Summer,2011,3,0,2,1,Clear/Partly Cloudy,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Low Demand (Quiet Day),2119.714285714286,2075.6666666666665
89,2011-03-30,Summer,2011,3,0,3,1,Misty/Cloudy,0.3,0.29735,0.646667,0.172888,168,1368,1536,Low Demand (Quiet Day),2036.142857142857,2078.6666666666665
90,2011-03-31,Summer,2011,3,0,4,1,Light Snow/Rain,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Low Demand (Quiet Day),2010.4285714285713,2073.133333333333
91,2011-04-01,Summer,2011,4,0,5,1,Misty/Cloudy,0.3,0.283454,0.68625,0.258708,307,1920,2227,Low Demand (Quiet Day),2012.857142857143,2076.233333333333
92,2011-04-02,Summer,2011,4,0,6,0,Misty/Cloudy,0.315,0.315637,0.65375,0.197146,898,1354,2252,Low Demand (Quiet Day),1978.0,2095.133333333333
93,2011-04-03,Summer,2011,4,0,0,0,Clear/Partly Cloudy,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Medium Demand (Typical Day),2200.285714285714,2138.633333333333
94,2011-04-04,Summer,2011,4,0,1,1,Clear/Partly Cloudy,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Low Demand (Quiet Day),2355.5714285714284,2173.233333333333
95,2011-04-05,Summer,2011,4,0,2,1,Misty/Cloudy,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Low Demand (Quiet Day),2265.5714285714284,2212.9
96,2011-04-06,Summer,2011,4,0,3,1,Clear/Partly Cloudy,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Low Demand (Quiet Day),2447.285714285714,2244.1
97,2011-04-07,Summer,2011,4,0,4,1,Clear/Partly Cloudy,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Low Demand (Quiet Day),2655.285714285714,2277.7
98,2011-04-08,Summer,2011,4,0,5,1,Misty/Cloudy,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Low Demand (Quiet Day),2547.285714285714,2263.7
99,2011-04-09,Summer,2011,4,0,6,0,Misty/Cloudy,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Low Demand (Quiet Day),2576.285714285714,2324.766666666667
100,2011-04-10,Summer,2011,4,0,0,0,Misty/Cloudy,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Low Demand (Quiet Day),2525.714285714286,2355.366666666667
101,2011-04-11,Summer,2011,4,0,1,1,Misty/Cloudy,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Medium Demand (Typical Day),2559.0,2395.9
102,2011-04-12,Summer,2011,4,0,2,1,Misty/Cloudy,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Low Demand (Quiet Day),2593.1428571428573,2383.133333333333
103,2011-04-13,Summer,2011,4,0,3,1,Misty/Cloudy,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Low Demand (Quiet Day),2500.8571428571427,2387.0
104,2011-04-14,Summer,2011,4,0,4,1,Clear/Partly Cloudy,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Medium Demand (Typical Day),2518.8571428571427,2427.366666666667
105,2011-04-15,Summer,2011,4,1,5,0,Clear/Partly Cloudy,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Low Demand (Quiet Day),2755.285714285714,2458.5
106,2011-04-16,Summer,2011,4,0,6,0,Light Snow/Rain,0.430833,0.425492,0.888333,0.340808,121,674,795,Low Demand (Quiet Day),2518.1428571428573,2393.5333333333333
107,2011-04-17,Summer,2011,4,0,0,0,Clear/Partly Cloudy,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Medium Demand (Typical Day),2639.4285714285716,2410.366666666667
108,2011-04-18,Summer,2011,4,0,1,1,Clear/Partly Cloudy,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Medium Demand (Typical Day),2651.0,2420.766666666667
109,2011-04-19,Summer,2011,4,0,2,1,Misty/Cloudy,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Medium Demand (Typical Day),2818.1428571428573,2445.2
110,2011-04-20,Summer,2011,4,0,3,1,Clear/Partly Cloudy,0.595,0.564392,0.614167,0.241925,613,3331,3944,Medium Demand (Typical Day),3072.714285714286,2507.4333333333334
111,2011-04-21,Summer,2011,4,0,4,1,Clear/Partly Cloudy,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Medium Demand (Typical Day),3204.4285714285716,2556.9666666666667
112,2011-04-22,Summer,2011,4,0,5,1,Misty/Cloudy,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Low Demand (Quiet Day),2998.285714285714,2542.366666666667
113,2011-04-23,Summer,2011,4,0,6,0,Misty/Cloudy,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Medium Demand (Typical Day),3461.285714285714,2614.733333333333
114,2011-04-24,Summer,2011,4,0,0,0,Misty/Cloudy,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Medium Demand (Typical Day),3525.1428571428573,2680.766666666667
115,2011-04-25,Summer,2011,4,0,1,1,Clear/Partly Cloudy,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Medium Demand (Typical Day),3617.1428571428573,2733.3333333333335
116,2011-04-26,Summer,2011,4,0,2,1,Clear/Partly Cloudy,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Medium Demand (Typical Day),3788.0,2823.5666666666666
117,2011-04-27,Summer,2011,4,0,3,1,Misty/Cloudy,0.62,0.575142,0.835417,0.3122,547,3325,3872,Medium Demand (Typical Day),3777.714285714286,2885.0333333333333
118,2011-04-28,Summer,2011,4,0,4,1,Misty/Cloudy,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Medium Demand (Typical Day),3759.0,2939.4666666666667
119,2011-04-29,Summer,2011,4,0,5,1,Clear/Partly Cloudy,0.51,0.497463,0.457083,0.240063,878,3717,4595,Medium Demand (Typical Day),4175.0,3041.4333333333334
120,2011-04-30,Summer,2011,4,0,6,0,Clear/Partly Cloudy,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Medium Demand (Typical Day),4357.285714285715,3162.3333333333335
121,2011-05-01,Summer,2011,5,0,0,0,Misty/Cloudy,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Medium Demand (Typical Day),4237.285714285715,3199.8
122,2011-05-02,Summer,2011,5,0,1,1,Misty/Cloudy,0.549167,0.532833,0.73,0.183454,847,3554,4401,Medium Demand (Typical Day),4284.142857142857,3271.4333333333334
123,2011-05-03,Summer,2011,5,0,2,1,Misty/Cloudy,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Medium Demand (Typical Day),4291.428571428572,3311.5
124,2011-05-04,Summer,2011,5,0,3,1,Misty/Cloudy,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Low Demand (Quiet Day),4114.428571428572,3295.4333333333334
125,2011-05-05,Summer,2011,5,0,4,1,Clear/Partly Cloudy,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Medium Demand (Typical Day),4168.0,3383.366666666667
126,2011-05-06,Summer,2011,5,0,5,1,Clear/Partly Cloudy,0.479167,0.474117,0.59,0.228246,894,3714,4608,Medium Demand (Typical Day),4169.857142857143,3443.366666666667
127,2011-05-07,Summer,2011,5,0,6,0,Clear/Partly Cloudy,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Medium Demand (Typical Day),4084.4285714285716,3495.8
128,2011-05-08,Summer,2011,5,0,0,0,Clear/Partly Cloudy,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Medium Demand (Typical Day),4224.714285714285,3591.2
129,2011-05-09,Summer,2011,5,0,1,1,Clear/Partly Cloudy,0.5325,0.525246,0.58875,0.176,664,3698,4362,Medium Demand (Typical Day),4219.142857142857,3654.766666666667
130,2011-05-10,Summer,2011,5,0,2,1,Clear/Partly Cloudy,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Medium Demand (Typical Day),4269.428571428572,3718.366666666667
131,2011-05-11,Summer,2011,5,0,3,1,Clear/Partly Cloudy,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Medium Demand (Typical Day),4490.714285714285,3746.1666666666665
132,2011-05-12,Summer,2011,5,0,4,1,Clear/Partly Cloudy,0.535,0.523363,0.7475,0.189667,695,4169,4864,Medium Demand (Typical Day),4552.285714285715,3840.5
133,2011-05-13,Summer,2011,5,0,5,1,Misty/Cloudy,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Medium Demand (Typical Day),4480.428571428572,3905.266666666667
134,2011-05-14,Summer,2011,5,0,6,0,Misty/Cloudy,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Medium Demand (Typical Day),4294.0,3910.0
135,2011-05-15,Summer,2011,5,0,0,0,Misty/Cloudy,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Medium Demand (Typical Day),4325.428571428572,3957.5666666666666
136,2011-05-16,Summer,2011,5,0,1,1,Clear/Partly Cloudy,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Medium Demand (Typical Day),4267.714285714285,4063.0
137,2011-05-17,Summer,2011,5,0,2,1,Misty/Cloudy,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Medium Demand (Typical Day),4170.571428571428,4075.633333333333
138,2011-05-18,Summer,2011,5,0,3,1,Misty/Cloudy,0.55,0.527158,0.87,0.201492,536,3319,3855,Medium Demand (Typical Day),4123.857142857143,4089.8333333333335
139,2011-05-19,Summer,2011,5,0,4,1,Misty/Cloudy,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Medium Demand (Typical Day),4082.5714285714284,4135.533333333334
140,2011-05-20,Summer,2011,5,0,5,1,Clear/Partly Cloudy,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Medium Demand (Typical Day),4198.571428571428,4167.966666666666
141,2011-05-21,Summer,2011,5,0,6,0,Clear/Partly Cloudy,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Medium Demand (Typical Day),4540.857142857143,4221.833333333333
142,2011-05-22,Summer,2011,5,0,0,0,Clear/Partly Cloudy,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Medium Demand (Typical Day),4556.142857142857,4321.066666666667
143,2011-05-23,Summer,2011,5,0,1,1,Misty/Cloudy,0.631667,0.590296,0.81,0.233842,836,3438,4274,Medium Demand (Typical Day),4601.285714285715,4329.0
144,2011-05-24,Summer,2011,5,0,2,1,Misty/Cloudy,0.66,0.604813,0.740833,0.207092,659,3833,4492,Medium Demand (Typical Day),4654.0,4339.033333333334
145,2011-05-25,Summer,2011,5,0,3,1,Clear/Partly Cloudy,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Medium Demand (Typical Day),4814.428571428572,4369.2
146,2011-05-26,Summer,2011,5,0,4,1,Clear/Partly Cloudy,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Medium Demand (Typical Day),4829.0,4378.433333333333
147,2011-05-27,Summer,2011,5,0,5,1,Clear/Partly Cloudy,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Medium Demand (Typical Day),4795.0,4405.333333333333
148,2011-05-28,Summer,2011,5,0,6,0,Clear/Partly Cloudy,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Medium Demand (Typical Day),4645.428571428572,4428.666666666667
149,2011-05-29,Summer,2011,5,0,0,0,Clear/Partly Cloudy,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Medium Demand (Typical Day),4663.714285714285,4435.1
150,2011-05-30,Summer,2011,5,1,1,0,Clear/Partly Cloudy,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Medium Demand (Typical Day),4638.571428571428,4394.633333333333
151,2011-05-31,Summer,2011,5,0,2,1,Clear/Partly Cloudy,0.775,0.725383,0.636667,0.111329,673,3309,3982,Medium Demand (Typical Day),4565.714285714285,4415.666666666667
152,2011-06-01,Summer,2011,6,0,3,1,Misty/Cloudy,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Medium Demand (Typical Day),4422.285714285715,4401.433333333333
153,2011-06-02,Summer,2011,6,0,4,1,Clear/Partly Cloudy,0.715,0.643942,0.305,0.292287,736,4232,4968,Medium Demand (Typical Day),4463.857142857143,4418.666666666667
